VTX, IDX, gl_Position.x, gl_Position.y, gl_Position.z, gl_Position.w, vDir.x, vDir.y, vDir.z
0, 1, -1.20002, -1.48148, 0.83333, -1.00, 1.00, -1.00, 1.00
1, 3, 0.80002, -1.48148, -0.83333, 1.00, -1.00, -1.00, -1.00
2, 2, 0.80002, -1.48148, 0.83333, 1.00, -1.00, -1.00, 1.00
3, 7, 0.80002, 1.48148, -0.83333, 1.00, -1.00, 1.00, -1.00
4, 5, -1.20002, 1.48148, 0.83333, -1.00, 1.00, 1.00, 1.00
5, 6, 0.80002, 1.48148, 0.83333, 1.00, -1.00, 1.00, 1.00
6, 4, -1.20002, 1.48148, -0.83333, -1.00, 1.00, 1.00, -1.00
7, 1, -1.20002, -1.48148, 0.83333, -1.00, 1.00, -1.00, 1.00
8, 5, -1.20002, 1.48148, 0.83333, -1.00, 1.00, 1.00, 1.00
9, 5, -1.20002, 1.48148, 0.83333, -1.00, 1.00, 1.00, 1.00
10, 2, 0.80002, -1.48148, 0.83333, 1.00, -1.00, -1.00, 1.00
11, 6, 0.80002, 1.48148, 0.83333, 1.00, -1.00, 1.00, 1.00
12, 2, 0.80002, -1.48148, 0.83333, 1.00, -1.00, -1.00, 1.00
13, 7, 0.80002, 1.48148, -0.83333, 1.00, -1.00, 1.00, -1.00
14, 6, 0.80002, 1.48148, 0.83333, 1.00, -1.00, 1.00, 1.00
15, 0, -1.20002, -1.48148, -0.83333, -1.00, 1.00, -1.00, -1.00
16, 7, 0.80002, 1.48148, -0.83333, 1.00, -1.00, 1.00, -1.00
17, 3, 0.80002, -1.48148, -0.83333, 1.00, -1.00, -1.00, -1.00
18, 0, -1.20002, -1.48148, -0.83333, -1.00, 1.00, -1.00, -1.00
19, 3, 0.80002, -1.48148, -0.83333, 1.00, -1.00, -1.00, -1.00
20, 1, -1.20002, -1.48148, 0.83333, -1.00, 1.00, -1.00, 1.00
21, 4, -1.20002, 1.48148, -0.83333, -1.00, 1.00, 1.00, -1.00
22, 5, -1.20002, 1.48148, 0.83333, -1.00, 1.00, 1.00, 1.00
23, 7, 0.80002, 1.48148, -0.83333, 1.00, -1.00, 1.00, -1.00
24, 0, -1.20002, -1.48148, -0.83333, -1.00, 1.00, -1.00, -1.00
25, 1, -1.20002, -1.48148, 0.83333, -1.00, 1.00, -1.00, 1.00
26, 4, -1.20002, 1.48148, -0.83333, -1.00, 1.00, 1.00, -1.00
27, 1, -1.20002, -1.48148, 0.83333, -1.00, 1.00, -1.00, 1.00
28, 2, 0.80002, -1.48148, 0.83333, 1.00, -1.00, -1.00, 1.00
29, 5, -1.20002, 1.48148, 0.83333, -1.00, 1.00, 1.00, 1.00
30, 3, 0.80002, -1.48148, -0.83333, 1.00, -1.00, -1.00, -1.00
31, 7, 0.80002, 1.48148, -0.83333, 1.00, -1.00, 1.00, -1.00
32, 2, 0.80002, -1.48148, 0.83333, 1.00, -1.00, -1.00, 1.00
33, 4, -1.20002, 1.48148, -0.83333, -1.00, 1.00, 1.00, -1.00
34, 7, 0.80002, 1.48148, -0.83333, 1.00, -1.00, 1.00, -1.00
35, 0, -1.20002, -1.48148, -0.83333, -1.00, 1.00, -1.00, -1.00
