VTX, IDX, gl_Position.x, gl_Position.y, gl_Position.z, gl_Position.w, v_FragPos.x, v_FragPos.y, v_FragPos.z
0,     1, 7.08002, 		 -1.00,			 1.00, 1.00, 	7.08002, 		-1.00, 1.00
1,     3, 5.08002, 		 -1.00,			 -1.00, 1.00,	 5.08002,		 -1.00, -1.00
2,     2, 5.08002, 		 -1.00,			 1.00, 1.00, 	5.08002, 		-1.00, 1.00
3,     7, 5.08002, 		 1.00, 			-1.00, 1.00, 	5.08002, 		1.00, -1.00
4,     5, 7.08002, 		 1.00, 			1.00, 1.00,  	7.08002, 		1.00, 1.00
5,     6, 5.08002, 		 1.00, 			1.00, 1.00,  	5.08002, 		1.00, 1.00
6,     4, 7.08002, 		 1.00, 			-1.00, 1.00, 	7.08002, 		1.00, -1.00
7,     1, 7.08002, 		 -1.00,			 1.00, 1.00, 	7.08002, 		-1.00, 1.00
8,     5, 7.08002, 		 1.00, 			1.00, 1.00,  	7.08002, 		1.00, 1.00
9,     5, 7.08002, 		 1.00, 			1.00, 1.00,  	7.08002, 		1.00, 1.00
10,    2, 5.08002, 		 -1.00,			 1.00, 1.00, 	5.08002, 		-1.00, 1.00
11,    6, 5.08002, 		 1.00, 			1.00, 1.00,  	5.08002, 		1.00, 1.00
12,    2, 5.08002, 		 -1.00,			 1.00, 1.00, 	5.08002, 		-1.00, 1.00
13,    7, 5.08002, 		 1.00, 			-1.00, 1.00, 	5.08002, 		1.00, -1.00
14,    6, 5.08002, 		 1.00, 			1.00, 1.00,  	5.08002, 		1.00, 1.00
15,    0, 7.08002, 		 -1.00,			 -1.00, 1.00,	 7.08002,		 -1.00, -1.00
16,    7, 5.08002, 		 1.00, 			-1.00, 1.00, 	5.08002, 		1.00, -1.00
17,    3, 5.08002, 		 -1.00,			 -1.00, 1.00,	 5.08002,		 -1.00, -1.00
18,    0, 7.08002, 		 -1.00,			 -1.00, 1.00,	 7.08002,		 -1.00, -1.00
19,    3, 5.08002, 		 -1.00,			 -1.00, 1.00,	 5.08002,		 -1.00, -1.00
20,    1, 7.08002, 		 -1.00,			 1.00, 1.00, 	7.08002, 		-1.00, 1.00
21,    4, 7.08002, 		 1.00, 			-1.00, 1.00, 	7.08002, 		1.00, -1.00
22,    5, 7.08002, 		 1.00, 			1.00, 1.00,  	7.08002, 		1.00, 1.00
23,    7, 5.08002, 		 1.00, 			-1.00, 1.00, 	5.08002, 		1.00, -1.00
24,    0, 7.08002, 		 -1.00,			 -1.00, 1.00,	 7.08002,		 -1.00, -1.00
25,    1, 7.08002, 		 -1.00,			 1.00, 1.00, 	7.08002, 		-1.00, 1.00
26,    4, 7.08002, 		 1.00, 			-1.00, 1.00, 	7.08002, 		1.00, -1.00
27,    1, 7.08002, 		 -1.00,			 1.00, 1.00, 	7.08002, 		-1.00, 1.00
28,    2, 5.08002, 		 -1.00,			 1.00, 1.00, 	5.08002, 		-1.00, 1.00
29,    5, 7.08002, 		 1.00, 			1.00, 1.00,  	7.08002, 		1.00, 1.00
30,    3, 5.08002, 		 -1.00,			 -1.00, 1.00,	 5.08002,		 -1.00, -1.00
31,    7, 5.08002, 		 1.00, 			-1.00, 1.00, 	5.08002, 		1.00, -1.00
32,    2, 5.08002, 		 -1.00,			 1.00, 1.00, 	5.08002, 		-1.00, 1.00
33,    4, 7.08002, 		 1.00, 			-1.00, 1.00, 	7.08002, 		1.00, -1.00
34,    7, 5.08002, 		 1.00, 			-1.00, 1.00, 	5.08002, 		1.00, -1.00
35,    0, 7.08002, 		 -1.00,			 -1.00, 1.00,	 7.08002,		 -1.00, -1.00
