VTX, IDX, gl_Position.x, gl_Position.y, gl_Position.z, gl_Position.w, v_FragPos.x, v_FragPos.y, v_FragPos.z
0, 1, 0.83333, -1.48148, -7.28017, 7.08002,    				0.83333, -1.48148, -7.28017
1, 3, -0.83333, -1.48148, -5.28013, 5.08002,   				 -0.83333, -1.48148, -5.28013
2, 2, 0.83333, -1.48148, -5.28013, 5.08002,    				0.83333, -1.48148, -5.28013
3, 7, -0.83333, 1.48148, -5.28013, 5.08002,    				-0.83333, 1.48148, -5.28013
4, 5, 0.83333, 1.48148, -7.28017, 7.08002,     				0.83333, 1.48148, -7.28017
5, 6, 0.83333, 1.48148, -5.28013, 5.08002,     				0.83333, 1.48148, -5.28013
6, 4, -0.83333, 1.48148, -7.28017, 7.08002,    				-0.83333, 1.48148, -7.28017
7, 1, 0.83333, -1.48148, -7.28017, 7.08002,    				0.83333, -1.48148, -7.28017
8, 5, 0.83333, 1.48148, -7.28017, 7.08002,     				0.83333, 1.48148, -7.28017
9, 5, 0.83333, 1.48148, -7.28017, 7.08002,     				0.83333, 1.48148, -7.28017
10, 2, 0.83333, -1.48148, -5.28013, 5.08002,   				 0.83333, -1.48148, -5.28013
11, 6, 0.83333, 1.48148, -5.28013, 5.08002,    				0.83333, 1.48148, -5.28013
12, 2, 0.83333, -1.48148, -5.28013, 5.08002,   				 0.83333, -1.48148, -5.28013
13, 7, -0.83333, 1.48148, -5.28013, 5.08002,   				 -0.83333, 1.48148, -5.28013
14, 6, 0.83333, 1.48148, -5.28013, 5.08002,    				0.83333, 1.48148, -5.28013
15, 0, -0.83333, -1.48148, -7.28017, 7.08002,					 -0.83333, -1.48148, -7.28017
16, 7, -0.83333, 1.48148, -5.28013, 5.08002, 					-0.83333, 1.48148, -5.28013
17, 3, -0.83333, -1.48148, -5.28013, 5.08002,					 -0.83333, -1.48148, -5.28013
18, 0, -0.83333, -1.48148, -7.28017, 7.08002,					 -0.83333, -1.48148, -7.28017
19, 3, -0.83333, -1.48148, -5.28013, 5.08002,					 -0.83333, -1.48148, -5.28013
20, 1, 0.83333, -1.48148, -7.28017, 7.08002, 					0.83333, -1.48148, -7.28017
21, 4, -0.83333, 1.48148, -7.28017, 7.08002, 				-0.83333, 1.48148, -7.28017
22, 5, 0.83333, 1.48148, -7.28017, 7.08002, 					0.83333, 1.48148, -7.28017
23, 7, -0.83333, 1.48148, -5.28013, 5.08002, 				-0.83333, 1.48148, -5.28013
24, 0, -0.83333, -1.48148, -7.28017, 7.08002,				 -0.83333, -1.48148, -7.28017
25, 1, 0.83333, -1.48148, -7.28017, 7.08002, 				0.83333, -1.48148, -7.28017
26, 4, -0.83333, 1.48148, -7.28017, 7.08002, 				-0.83333, 1.48148, -7.28017
27, 1, 0.83333, -1.48148, -7.28017, 7.08002, 				0.83333, -1.48148, -7.28017
28, 2, 0.83333, -1.48148, -5.28013, 5.08002, 				0.83333, -1.48148, -5.28013
29, 5, 0.83333, 1.48148, -7.28017, 7.08002, 				.83333, 1.48148, -7.28017
30, 3, -0.83333, -1.48148, -5.28013, 5.08002,				 -0.83333, -1.48148, -5.28013
31, 7, -0.83333, 1.48148, -5.28013, 5.08002, 				-0.83333, 1.48148, -5.28013
32, 2, 0.83333, -1.48148, -5.28013, 5.08002, 				0.83333, -1.48148, -5.28013
33, 4, -0.83333, 1.48148, -7.28017, 7.08002, 				-0.83333, 1.48148, -7.28017
34, 7, -0.83333, 1.48148, -5.28013, 5.08002, 				-0.83333, 1.48148, -5.28013
35, 0, -0.83333, -1.48148, -7.28017, 7.08002,				 -0.83333, -1.48148, -7.28017
